lateral nuclear group of thalamus,,lateral nuclear group of dorsal thalamus,lateral nuclear group,lateral thalamic nuclei,nuclei laterales thalami,lateral thalamic group,lateral group of the dorsal thalamus,lateral thalamic nucleus,lateral nucleus of thalamus,,nucleus lateralis thalami,lateral group of nuclei,lateral thalamic nuclear region,lateral thalamic nuclear group,,,,,,,,,,,,,,
lateral globus pallidus,globus pallidus lateralis,"globus pallidus, lateral segment",globus pallidus externus,external globus pallidus,globus pallidus extermal segment,lateral pallidum,lateral part of globus pallidus,external pallidum,lateral segment of globus pallidus,,globus pallidus external segment,pars lateralis globi pallidi medialis,external part of globus pallidus,lateral pallidal segment,globus pallidus lateral part,"globus pallidus, pars externa",Pallidum dorsal region external segment,"globus pallidus, lateral part",nucleus lateralis globi pallidi,,lateral segment of the globus pallidus,globus pallidus lateral segment,globus pallidus (rat),"globus pallidus, external segment",lateral division of globus pallidus,,,
medial globus pallidus,globus pallidus medialis,"globus pallidus, medial segment",globus pallidus interna,medial segment of globus pallidus,globus pallidus internal segment,internal part of globus pallidus,medial part of globus pallidus,mesial pallidum,pars medialis globi pallidi,medial pallidal segment,globus pallidus medial segment,internal pallidum,entopeduncular nucleus (monakow),internal globus pallidus,globus pallidus internus,medial segment of the globus pallidus,globus pallidus pars medialis,medial globus pallidus (entopeduncular nucleus),medial division of globus pallidus,principal medial geniculate nucleus,globus pallidus inernal segment,entopeduncular nucleus,"globus pallidus, internal segment","globus pallidus, medial part","globus pallidus, pars interna",nucleus medialis globi pallidi,globus pallidus medial part,Pallidum dorsal region internal segment
metathalamus,geniculate thalamic group,geniculate group of the dorsal thalamus,nuclei metathalami,Geniculate group of dorsal thalamus,corpora geniculata,Geniculate thalamic nuclear group (metathalamus),,,,,,,,,,,,,,,,,,,,,,
midline nuclear group,nuclei mediani (thalami),periventricular nuclei of thalamus,median nuclei of thalamus,midline thalamic group,midline nuclei of thalamus,midline nuclear group of thalamus,,midline thalamic nuclei,nucleus mediani thalami,midline group of the dorsal thalamus,midline thalamic nuclear group,nuclei mediani thalami,,,,,,,,,,,,,,,,
nucleus accumbens,nucleus accumbens septi,colliculus of caudate nucleus,accumbens nucleus,colliculus nuclei caudati,,,,,,,,,,,,,,,,,,,,,,,,
red nucleus,nucleus ruber,nucleus ruber tegmenti,nucleus ruber tegmenti (Stilling),nucleus rotundus subthalamo peduncularis,red nucleus (Burdach),,,,,,,,,,,,,,,,,,,,,,,
ventral thalamus,subthalamus,thalamus ventralis,subthalamic region,perithalamus,prethalamus,,,,,,,,,,,,,,,,,,,,,,,
corpora quadrigemina,colliculi,quadrigeminal body,set of colliculi,,,,,,,,,,,,,,,,,,,,,,,,,
superior colliculus,anterior colliculus,optic tectum,anterior corpus quadrigeminum,cranial colliculus,corpus quadrigeminum superius,dorsal midbrain,tectum,strata (grisea et alba) colliculi cranialis,lobus opticus,tectum opticum,layers of the superior colliculus,colliculus rostralis,optic lobe,colliculus superior,colliculus bigeminalis oralis,corpora bigemina,tectal lobe,colliculus cranialis,strata (grisea et alba) colliculi superioris,,,,,,,,,
inferior colliculus,posterior corpus quadrigeminum,posterior colliculus,caudal colliculus,inferior colliculi,corpus bigeminalis caudalis,corpus bigeminum posterioris,colliculus caudalis,corpus quadrigeminum inferius,colliculus inferior,,,,,,,,,,,,,,,,,,,
midbrain tectum,mesencephalic tectum,neuraxis tectum,tectum mesencephali,t. mesencephali,tectum of midbrain,tectum mesencephalicum,,,,,,,,,,,,,,,,,,,,,,
pituitary gland,pituitary body,glandula pituitaria,hypophysis,hypophysis cerebri,,,,,,,,,,,,,,,,,,,,,,,,
planum polare,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planum temporale,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anterior transverse temporal gyrus,first transverse gyrus of Heschl,anterior transverse temporal convolution of heschl,anterior transverse convolution of heschl,great transverse gyrus of Heschl,gyrus temporalis transversus primus,gyrus temporalis transversus anterior,,,,,,,,,,,,,,,,,,,,,,
posterior transverse temporal gyrus,posterior transverse temporal convolution of heschl,posterior transverse convolution of heschl,gyrus temporalis transversus posterior,,,,,,,,,,,,,,,,,,,,,,,,,
subcallosal area,adolfactory area,area paraolfactoria,paraolfactory area,parolfactory area,area subcallosa,Zuckerkandl's gyrus,area parolfactoria,,,,,,,,,,,,,,,,,,,,,
central gray substance of midbrain,griseum centrale,substantia grisea centralis,periaqueductal gray of tegmentum,periaqueductal grey matter,periaqueductal gray,central (periaqueductal) gray,periaqueductal grey,periaqueductal grey substance,anulus of cerebral aqueduct,midbrain periaqueductal grey,periaqueductal gray matter,central gray of the midbrain,anulus aquaeductus,central gray,"periaqueductal gray, proper",central gray substance of the midbrain,central grey substance of midbrain,anulus aqueductus cerebri,substantia grisea centralis mesencephali,griseum centrale mesencephali,central grey,s. grisea centralis,griseum periventriculare mesencephali,periaquectuctal grey,,,,
posterior hypothalamic region,mammillary level of hypothalamus,posterior hypothalamus,mammillary region,regio hypothalamica posterior,hypothalamus posterior,,,,,,,,,,,,,,,,,,,,,,,
anteromedial nucleus of thalamus,nucleus anteromedialis,nucleus anterior thalami medialis,nucleus anterior medialis,nucleus anteromedialis (hassler),anteromedial nucleus of the thalamus,anteromedial thalamic nucleus,nucleus thalamicus anteromedialis,anteromedial nucleus,nucleus anterior medialis thalami,nucleus anteromedialis thalami,,,,,,,,,,,,,,,,,,
tail of caudate nucleus,caudate nuclear tail,cauda nuclei caudati,tail of the caudate nucleus,cauda (caudatus),,,,,,,,,,,,,,,,,,,,,,,,
Brodmann (1909) area 24,,area 24 of Brodmann-1909,,ventral anterior cingulate,area cingularis anterior ventralis,area 24 of Brodmann-1905 (guenon),anterior cingulate area,agranular cingulate area,,,,,,,,,,,,,,,,,,,,
Brodmann (1909) area 11,area praefrontalis,medial orbital area,area 11 of Brodmann-1909,area 11 of Brodmann (guenon),area orbitalis interna,brodmann's area 11,,,,,,,,,,,,,,,,,,,,,,
cerebellar vermis,vermis cerebelli [I-X],vermal parts of the cerebellum,vermal regions,vermis of cerebellum,cerebellum vermis,vermis of cerebellum [I-X],vermis,vermis cerebelli,,,,,,,,,,,,,,,,,,,,
intraparietal sulcus,interparietal fissure,sulcus interparietalis,intraparietal fissure,Turner sulcus,sulcus intraparietalis,intraparietal sulcus of Turner,,,,,,,,,,,,,,,,,,,,,,
primary visual cortex,Brodmann area 17,area 17 of Brodmann-1909,striate cortex,striate area,area striata,occipital visual neocortex,area 17 of Brodmann,calcarine cortex,visual area V1,V1,visual association cortex,,primary visual area,visual area one,,nerve X,,,,,,,,,,,,
parieto occipital sulcus,parieto occipital fissure,sulcus parieto occipitalis,sulcus parieto occipitalis medialis,fissura parieto occipitalis,sulcus parietoccipitalis,parieto occipital incisure,parietooccipital sulcus,sulcus parietooccipitalis,fissura parietooccipitalis,posterior orbital sulcus,,,,,,,,,,,,,,,,,,
primary motor cortex,motor cortex,prefrontal gyrus,gyrus precentralis,somatic motor areas,Rolando's area,somatomotor areas,excitable area,primary motor area,motor area,,,,,,,,,,,,,,,,,,,
auditory cortex,anterior transverse temporal area 41,,auditory area,temporal auditory neocortex,Auditory areas,posterior transverse temporal area 42,,,,,,,,,,,,,,,,,,,,,,
primary auditory cortex,primary auditory cortex (core),primary auditory area,auditory core region,auditory complex area A1,,,,,,,,,,,,,,,,,,,,,,,,
secondary auditory cortex,"secondary auditory cortex (belt, area 42)",second auditory area,belt area of auditory complex,second auditory cortex,,,,,,,,,,,,,,,,,,,,,,,,
somatosensory cortex,somatic sensory cortex,primary somatic sensory cortex,somesthetic area,somatosensory area,somatosensory areas,,,,,,,,,,,,,,,,,,,,,,,
corpus striatum,striate body,,,,,,,,,,,,,,,,,,,,,,,,,,,
basolateral amygdaloid nuclear complex,basolateral subdivision of amygdala,pars basolateralis (Corpus amygdaloideum),basolateral nuclear complex,,amygdalar basolateral nucleus,basolateral amygdala,vicarious cortex,basolateral nuclei of amygdala,basolateral nuclear group,amygdaloid basolateral complex,basolateral complex,set of basolateral nuclei of amygdala,,,,,,,,,,,,,,,,
central amygdaloid nucleus,central nucleus of amygdala,central amygdala,central nucleus of amygda,nucleus amygdaloideus centralis,central nucleus of the amygdala,amygdala central nucleus,central nuclear group,nucleus centralis amygdalae,central amygdalar nucleus,nucleus amygdalae centralis,central nucleus amygdala,,,,,,,,,,,,,,,,,
basal amygdaloid nucleus,basolateral amygdalar nucleus,basolateral amygdaloid nucleus,nucleus amygdalae basalis lateralis,intermediate principal nucleus,basolateral amygaloid nucleus,basolateral nucleus (de olmos),basal nucleus of the amygdala,basolateral nucleus of amygdala,nucleus amygdalae basalis,nucleus basalis amygdalae,nucleus amygdaloideus basolateralis,basolateral nucleus of the amygdala,nucleus amygdaloideus basalis,,,,,,,,,,,,,,,
lateral amygdaloid nucleus,lateral nucleus of amygdala,lateral principal nucleus of amygdala,nucleus amygdaloideus lateralis,nucleus lateralis amygdalae,lateral nucleus of the amygdala,lateral amygdalar nucleus,nucleus amygdalae lateralis,medial principal nucleus,lateral amygdala,,,,,,,,,,,,,,,,,,,
anterior amygdaloid area,anterior amygdalar area,anterior amygaloid area,area amydaliformis anterior,area anterior amygdalae,anterior cortical nucleus,area amygdaloidea anterior,,,,,,,,,,,,,,,,,,,,,,
suprageniculate nucleus of thalamus,suprageniculate thalamic nucleus,nucleus suprageniculatus,suprageniculate nucleus,,,,,,,,,,,,,,,,,,,,,,,,,
oral pulvinar nucleus,oral portion of pulvinar,oral nuclear group of pulvinar,oral part of pulvinar,anterior pulvinar nucleus,nucleus pulvinaris oralis,nucleus pulvinaris oralis thalami,nucleus pulvinaris anterior,,,,,,,,,,,,,,,,,,,,,
